id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Symphony,Aurora Strings,classical,melancholic,0.25,65,0.42,0.35,0.95
12,Electric Dreams,Synth Wave,electronic,energetic,0.88,130,0.79,0.81,0.08
13,Hustle Hard,Cipher Kings,hip-hop,confident,0.84,104,0.71,0.72,0.12
14,Dust Road,Open Prairie,country,nostalgic,0.58,92,0.68,0.64,0.88
15,Island Vibes,Reggae Riddim,reggae,peaceful,0.62,96,0.77,0.75,0.72
16,Thunder Strike,Iron Echo,metal,aggressive,0.95,165,0.35,0.68,0.04
17,Forest Path,Wooden Echoes,folk,reflective,0.32,70,0.55,0.48,0.93
18,Velvet Nights,Silk & Soul,r&b,smooth,0.71,106,0.80,0.77,0.25
19,Disco Fever,Mirror Ball,disco,fun,0.91,125,0.86,0.89,0.14
20,Crossroads,Delta Blues,blues,melancholic,0.48,88,0.45,0.52,0.82
